Title,Title_link,name,index,count,mark-neww,price-neww
Corsair Force MP600 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20Force%20MP600%201TB&id=23935,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20Force%20MP600%201TB&id=23935,(44%),163.6,"30,597",186.99
INTEL SSDPEKNW010T9,https://www.harddrivebenchmark.net/hdd.php?hdd=INTEL%20SSDPEKNW010T9&id=25283,https://www.harddrivebenchmark.net/hdd.php?hdd=INTEL%20SSDPEKNW010T9&id=25283,(43%),162.4,"16,238",99.99
Intel SSD 760p 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Intel%20SSD%20760p%20256GB&id=15466,https://www.harddrivebenchmark.net/hdd.php?hdd=Intel%20SSD%20760p%20256GB&id=15466,(43%),159.0,"13,113",82.49
HP SSD EX920 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX920%201TB&id=15790,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX920%201TB&id=15790,(42%),158.2,"18,982",119.99
GIGABYTE GP-GSM2NE3100TNTD,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE%20GP-GSM2NE3100TNTD&id=24945,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE%20GP-GSM2NE3100TNTD&id=24945,(42%),156.1,"17,173",109.99
PNY CS2130 500GB SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=PNY%20CS2130%20500GB%20SSD&id=26455,https://www.harddrivebenchmark.net/hdd.php?hdd=PNY%20CS2130%20500GB%20SSD&id=26455,(41%),154.9,"9,290",59.99
Corsair Force MP510 960GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20Force%20MP510%20960GB&id=22443,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20Force%20MP510%20960GB&id=22443,(41%),152.1,"20,533",134.99
HP SSD EX950 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX950%201TB&id=23202,https://www.harddrivebenchmark.net/hdd.php?hdd=HP%20SSD%20EX950%201TB&id=23202,(40%),148.3,"19,278",129.99
NE-256,https://www.harddrivebenchmark.net/hdd.php?hdd=NE-256&id=16080,https://www.harddrivebenchmark.net/hdd.php?hdd=NE-256&id=16080,(40%),147.8,"9,082",61.45
MKNSSDHL1TB-D8,https://www.harddrivebenchmark.net/hdd.php?hdd=MKNSSDHL1TB-D8&id=24507,https://www.harddrivebenchmark.net/hdd.php?hdd=MKNSSDHL1TB-D8&id=24507,(39%),146.6,"13,194",89.99
Gigabyte AORUS RGB M.2 NVMe 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Gigabyte%20AORUS%20RGB%20M.2%20NVMe%20512GB&id=23480,https://www.harddrivebenchmark.net/hdd.php?hdd=Gigabyte%20AORUS%20RGB%20M.2%20NVMe%20512GB&id=23480,(37%),139.9,"16,604",118.70
Gigabyte AORUS RGB M.2 NVMe 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Gigabyte%20AORUS%20RGB%20M.2%20NVMe%20256GB&id=23481,https://www.harddrivebenchmark.net/hdd.php?hdd=Gigabyte%20AORUS%20RGB%20M.2%20NVMe%20256GB&id=23481,(36%),136.0,"11,180",82.23
Seagate BarraCuda 510 SSD ZP250CM30001,https://www.harddrivebenchmark.net/hdd.php?hdd=Seagate%20BarraCuda%20510%20SSD%20ZP250CM30001&id=25662,https://www.harddrivebenchmark.net/hdd.php?hdd=Seagate%20BarraCuda%20510%20SSD%20ZP250CM30001&id=25662,(36%),135.7,"11,282",83.15
ADATA SWORDFISH,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20SWORDFISH&id=26258,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20SWORDFISH&id=26258,(36%),134.8,"13,482",99.99
KXG60ZNV512G TOSHIBA,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV512G%20TOSHIBA&id=24373,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV512G%20TOSHIBA&id=24373,(34%),129.1,"16,002",123.95
Samsung SSD 960 EVO 250GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20SSD%20960%20EVO%20250GB&id=13210,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20SSD%20960%20EVO%20250GB&id=13210,(34%),126.3,"14,516",114.95
