Title,Title_link,name,index,count,mark-neww,Price
AMD Ryzen 9 3900X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900X&id=3493,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900X&id=3493,(54.6%),59.3,"32,901",$554.43
Intel Xeon W-2175 @ 2.50GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-2175+%40+2.50GHz&id=3409,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-2175+%40+2.50GHz&id=3409,(53.4%),58.0,"22,912",$395.00
Intel Core i5-9600KF @ 3.70GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9600KF+%40+3.70GHz&id=3443,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9600KF+%40+3.70GHz&id=3443,(52.6%),57.1,"10,855",$190.13
Intel Core i5-9400F @ 2.90GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9400F+%40+2.90GHz&id=3397,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9400F+%40+2.90GHz&id=3397,(52.4%),56.9,"9,540",$167.77
AMD Ryzen 7 3800XT,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+3800XT&id=3797,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+3800XT&id=3797,(51.6%),56.1,"23,947",$426.95
Intel Core i9-10900 @ 2.80GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900+%40+2.80GHz&id=3745,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900+%40+2.80GHz&id=3745,(51.2%),55.6,"20,908",$375.99
Intel Core i5-10500 @ 3.10GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-10500+%40+3.10GHz&id=3749,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-10500+%40+3.10GHz&id=3749,(51.1%),55.5,"13,257",$238.86
Intel Core i9-10900KF @ 3.70GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900KF+%40+3.70GHz&id=3754,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900KF+%40+3.70GHz&id=3754,(51.0%),55.3,"23,798",$429.99
AMD Ryzen 3 3100,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+3100&id=3715,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+3100&id=3715,(50.2%),54.6,"11,733",$214.99
AMD Ryzen 7 1700,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+1700&id=2970,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+1700&id=2970,(50.0%),54.3,"14,670",$269.99
